code;desc;type;height;misc
3289345;ΦΥΣΤΙΚΟΒΟΥΤΥΡΟ ΑΠΑΛΟ MR GRAND 350ΓΡ;T;12;test
2255305;ΠΙΠΕΡΙΕΣ ΠΡΑΣ MR GRAND ΣΤΡΒ 180Γ ΚΒ 340Γ;T;12;test
1520402;ΦΑΣΟΛΙΑ ΓΙΓΑΝΤΕΣ MR GRAND 280ΓΡ;T;9,4;test
3117967;ΜΟΥΣΤΑΡΔΑ ΜΕ ΜΕΛΙ ΜΑΣΟΥΤΗ ΒΑΖΟ 200ΓΡ;T;9;test
1947605;ΦΑΣΟΛΙΑ ΓΙΑΧΝΙ MR GRAND 280ΓΡ;T;4,7;test
1520352;ΝΤΟΛΜΑΔΑΚΙΑ ΓΙΑΛΑΝΤΖΙ MR GRAND 280ΓΡ;T;4,7;test
1947563;ΚΕΦΤΕΔΑΚΙΑ MR GRAND ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 280;T;4,7;test
2289833;ΑΛΕΥΡΙ ΣΕΡΡΩΝ ΟΛΕΣ ΤΙΣ ΧΡΗΣΕΙΣ ΜΑΣΟΥΤΗΣ;T;80;test
797530;ΤΟΜΑΤΑΚΙ ΨΙΛΟΚ/ΝΟ MR GRAND 400ΓΡ;T;44;test
2029049;ΤΟΜΑΤΟΠΟΛΤΟΣ MR GRAND 28-30% 410ΓΡ;T;33;test
